Latitude,Longitude,Name,Icon,PlotName,NWR,year,type,Description
66.0114,-155.962,36895_4,186,Cone Mountain,Koyukuk,even,ALMS,ALMS Point in Koyukuk NWR at Cone Mountain and surveyed in even years
66.01241,-155.952,36895_5,186,Cone Mountain,Koyukuk,even,ALMS,ALMS Point in Koyukuk NWR at Cone Mountain and surveyed in even years
66.01277,-155.997,36895_6,186,Cone Mountain,Koyukuk,even,ALMS,ALMS Point in Koyukuk NWR at Cone Mountain and surveyed in even years
66.01377,-155.986,36895_7,186,Cone Mountain,Koyukuk,even,ALMS,ALMS Point in Koyukuk NWR at Cone Mountain and surveyed in even years
66.01478,-155.976,36895_8,186,Cone Mountain,Koyukuk,even,ALMS,ALMS Point in Koyukuk NWR at Cone Mountain and surveyed in even years
66.01578,-155.965,36895_9,186,Cone Mountain,Koyukuk,even,ALMS,ALMS Point in Koyukuk NWR at Cone Mountain and surveyed in even years
64.66319,-154.632,33074_1,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.67122,-154.593,33074_10,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.67196,-154.636,33074_11,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.67288,-154.626,33074_12,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.67379,-154.615,33074_13,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.6747,-154.605,33074_14,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.67561,-154.595,33074_15,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.67635,-154.638,33074_16,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.67726,-154.628,33074_17,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.67818,-154.618,33074_18,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.67909,-154.607,33074_19,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.6641,-154.621,33074_2,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.68,-154.597,33074_20,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.68074,-154.64,33074_21,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.68165,-154.63,33074_22,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.68257,-154.62,33074_23,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.68348,-154.609,33074_24,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.68439,-154.599,33074_25,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.66501,-154.611,33074_3,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.66592,-154.601,33074_4,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.66684,-154.591,33074_5,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.66757,-154.634,33074_6,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.66849,-154.624,33074_7,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.6694,-154.613,33074_8,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
64.67031,-154.603,33074_9,186,Charlie Lake,Nowitna,even,ALMS,ALMS Point in Nowitna NWR at Charlie Lake and surveyed in even years
67.31667,-142.99534,38627_1,186,Coleen South,Arctic,odd,ALMS,ALMS Point in Arctic NWR at Coleen South and surveyed in odd years
67.32169,-142.94948,38627_10,186,Coleen South,Arctic,odd,ALMS,ALMS Point in Arctic NWR at Coleen South and surveyed in odd years
67.3256,-142.99593,38627_11,186,Coleen South,Arctic,odd,ALMS,ALMS Point in Arctic NWR at Coleen South and surveyed in odd years
67.3258,-142.98443,38627_12,186,Coleen South,Arctic,odd,ALMS,ALMS Point in Arctic NWR at Coleen South and surveyed in odd years
67.3259,-142.97286,38627_13,186,Coleen South,Arctic,odd,ALMS,ALMS Point in Arctic NWR at Coleen South and surveyed in odd years
67.326,-142.96145,38627_14,186,Coleen South,Arctic,odd,ALMS,ALMS Point in Arctic NWR at Coleen South and surveyed in odd years
67.32619,-142.94998,38627_15,186,Coleen South,Arctic,odd,ALMS,ALMS Point in Arctic NWR at Coleen South and surveyed in odd years
67.33013,-142.99632,38627_16,186,Coleen South,Arctic,odd,ALMS,ALMS Point in Arctic NWR at Coleen South and surveyed in odd years
67.33026,-142.98479,38627_17,186,Coleen South,Arctic,odd,ALMS,ALMS Point in Arctic NWR at Coleen South and surveyed in odd years
67.3304,-142.9732,38627_18,186,Coleen South,Arctic,odd,ALMS,ALMS Point in Arctic NWR at Coleen South and surveyed in odd years
67.3306,-142.96167,38627_19,186,Coleen South,Arctic,odd,ALMS,ALMS Point in Arctic NWR at Coleen South and surveyed in odd years
67.31673,-142.98371,38627_2,186,Coleen South,Arctic,odd,ALMS,ALMS Point in Arctic NWR at Coleen South and surveyed in odd years
67.33054,-142.95,38627_20,186,Coleen South,Arctic,odd,ALMS,ALMS Point in Arctic NWR at Coleen South and surveyed in odd years
